Title,Authors,Publisher,Year,DOI,Keywords,Citations,Optimization,ML task,Objective functions,Single/Multi Solutions,Abstract
evolutionary model selection in unsupervised learning,"Kim Y., Street W.N., Menczer F.",Intelligent Data Analysis,2002.0,10.3233/ida-2002-6605,,76.0,"['Evolutionary', 'ELSA']","['Feature Selection', 'Clustering']","['cluster cohesiveness', 'distance from glocal centroid', 'number of clusters', 'complexity']",Multi,"Feature subset selection is important not only for the insight gained from determining relevant modeling variables but also for the improved understandability, scalability, and possibly, accuracy of the resulting models. Feature selection has traditionally been studied in supervised learning situations, with some estimate of accuracy used to evaluate candidate subsets. However, we often cannot apply supervised learning for lack of a training signal. For these cases, we propose a new feature selection approach based on clustering. A number of heuristic criteria can be used to estimate the quality of clusters built from a given feature subset. Rather than combining such criteria, we use ELSA, an evolutionary local selection algorithm that maintains a diverse population of solutions that approximate the Pareto front in a multi-dimensional objective space. Each evolved solution represents a feature subset and a number of clusters; two representative clustering algorithms, K-means and EM, are applied to form the given number of clusters based on the selected features. Experimental results on both real and synthetic data show that the method can consistently find approximate Pareto-optimal solutions through which we can identify the significant features and an appropriate number of clusters. This results in models with better and clearer semantic relevance. © 2002-IOS Press. All rights reserved."
pareto neuro-ensembles,Abbass H.A.,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2003.0,10.1007/978-3-540-24581-0_47,,28.0,"['Evolutive', 'MPANN']","['Neural Networks', 'Classification', 'Ensemble']",['MSE for two data partitions'],Single - Ensemble,"The formation of a neural network ensemble has attracted much attention in the machine learning literature. A set of trained neural networks are combined using a post-gate to form a single super-network. One main challenge in the literature is to decide on which network to include in, or exclude from the ensemble. Another challenge is how to define an optimum size for the ensemble. Some researchers also claim that for an ensemble to be effective, the networks need to be different. However, there is not a consistent definition of what “different” means. Some take it to mean weakly correlated networks, networks with different bias-variance trade-off, and/or networks which are specialized on different parts of the input space. In this paper, we present a theoretically sound approach for the formation of neural network ensembles. The approach is based on the dominance concept that determines which network to include/exclude, identifies a suitable size for the ensemble, and provides a mechanism for quantifying differences between networks. The approach was tested on a number of standard dataset and showed competitive results. © Springer-Verlag Berlin Heidelberg 2003."
cooperative coevolution of artificial neural network ensembles for pattern classification,N. Garcia-Pedrajas; C. Hervas-Martinez; D. Ortiz-Boyer,IEEE Transactions on Evolutionary Computation,2005.0,10.1109/TEVC.2005.844158,Classification;cooperative coevolution;multiobjective optimization;neural network ensembles,150.0,"['Evolutionary', 'NSGA']","['Classification','Ensemble','Neural Networks']",['Several performanca and diversity measures'],Single - Ensemble,"This paper presents a cooperative coevolutive approach for designing neural network ensembles. Cooperative coevolution is a recent paradigm in evolutionary computation that allows the effective modeling of cooperative environments. Although theoretically, a single neural network with a sufficient number of neurons in the hidden layer would suffice to solve any problem, in practice many real-world problems are too hard to construct the appropriate network that solve them. In such problems, neural network ensembles are a successful alternative. Nevertheless, the design of neural network ensembles is a complex task. In this paper, we propose a general framework for designing neural network ensembles by means of cooperative coevolution. The proposed model has two main objectives: first, the improvement of the combination of the trained individual networks; second, the cooperative evolution of such networks, encouraging collaboration among them, instead of a separate training of each network. In order to favor the cooperation of the networks, each network is evaluated throughout the evolutionary process using a multiobjective method. For each network, different objectives are defined, considering not only its performance in the given problem, but also its cooperation with the rest of the networks. In addition, a population of ensembles is evolved, improving the combination of networks and obtaining subsets of networks to form ensembles that perform better than the combination of all the evolved networks. The proposed model is applied to ten real-world classification problems of a very different nature from the UCI machine learning repository and proben1 benchmark set. In all of them the performance of the model is better than the performance of standard ensembles in terms of generalization error. Moreover, the size of the obtained ensembles is also smaller."
evolutionary multiobjective ensemble learning based on bayesian feature selection,Huanhuan Chen; Xin Yao,2006 IEEE International Conference on Evolutionary Computation,2006.0,10.1109/CEC.2006.1688318,,4.0,"['Evolutive', 'NSGA']","['Neural Networks', 'Classification', 'Ensemble']",['MSE for two data partitions'],Single - Ensemble,"This paper proposes to incorporate evolutionary multiobjective algorithm and Bayesian Automatic Relevance Determination (ARD) to automatically design and train ensemble. The algorithm determines almost all the parameters of ensemble automatically. Our algorithm adopts different feature subsets, selected by Bayesian ARD, to maintain accuracy and promote diversity among individual NNs in an ensemble. The multiobjective evaluation of the fitness of the networks encourages the networks with lower error rate and fewer features. The proposed algorithm is applied to several real-world classification problems and in all cases the performance of the method is better than the performance of other ensemble construction algorithms."
pattern classification by evolutionary rbf networks ensemble based on multi-objective optimization,N. Kondo; T. Hatanaka; K. Uosaki,The 2006 IEEE International Joint Conference on Neural Network Proceedings,2006.0,10.1109/IJCNN.2006.247224,,3.0,"['Evolutionary', 'NSGA-II']","['RBF Networks', 'Ensemble', 'Classification']","['number of hidden layer neuron', 'MSE', 'sum of absolute weights']",Single - Ensemble,"In this paper, evolutionary multi-objective selection method of RBF networks structure and its application to the ensemble learning is considered. The candidates of RBF network structure are encoded into the chromosomes in GAs. Then, they evolve toward Pareto-optimal front defined by several objective functions concerning with model accuracy, model complexity and model smoothness. RBF network ensemble is constructed of the obtained Pareto-optimal models since such models are diverse. This method is applied to the pattern classification problem. Experiments on the benchmark problem demonstrate that the proposed method has comparable generalization ability to conventional ensemble methods."
pattern classification by evolutionary rbf networks ensemble based on multi-objective optimization,N. Kondo; T. Hatanaka; K. Uosaki,The 2006 IEEE International Joint Conference on Neural Network Proceedings,2006.0,10.1109/IJCNN.2006.247224,,3.0,"['Evolutionary', 'NSGA-II']","['RBF Networks', 'Ensemble', 'Classification']","['number of hidden layer neuron', 'MSE', 'sum of absolute weights']",Single - Ensemble,"In this paper, evolutionary multi-objective selection method of RBF networks structure and its application to the ensemble learning is considered. The candidates of RBF network structure are encoded into the chromosomes in GAs. Then, they evolve toward Pareto-optimal front defined by several objective functions concerning with model accuracy, model complexity and model smoothness. RBF network ensemble is constructed of the obtained Pareto-optimal models since such models are diverse. This method is applied to the pattern classification problem. Experiments on the benchmark problem demonstrate that the proposed method has comparable generalization ability to conventional ensemble methods. © 2006 IEEE."
information preserving multi-objective feature selection for unsupervised learning,"Mierswa I., Wurst M.",GECCO 2006 - Genetic and Evolutionary Computation Conference,2006.0,10.1145/1143997.1144248,Multi-objective feature selection; Pareto front segmentation; Unsupervised learning,34.0,"['Evolutive', 'NSGA-II']","['Feature Selection', 'Clustering']","['Number of features', 'DB index']",Multi,"In this work we propose a novel, sound framework for evolutionary feature selection in unsupervised machine learning problems. We show that unsupervised feature selection is inhemulti-objectiverently multi-objective and behaves differently from supervised feature selection in that the number of features must be maximized instead of being minimized. Although this might sound surprising from a supervised learning point of view, we exemplify this relationship on the problem of data clustering and show that existing approaches do not pose the optimization problem in an appropriate way. Another important consequence of this paradigm change is a method which segments the Pareto sets produced by our approach. Inspecting only prototypical points from these segments drastically reduces the amount of work for selecting a final solution. We compare our methods against existing approaches on eight data sets. Copyright 2006 ACM."
a dual-objective evolutionary algorithm for rules extraction in data mining,"Tan, KC; Yu, Q; Ang, JH",COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,2006.0,10.1007/s10589-005-3907-9,data mining; evolutionary algorithm; classification; rules extraction,,['Evolutionary'],"['decision rules', 'Classification']","['Accuracy', 'number of rules']",Multi,"This paper presents a dual-objective evolutionary algorithm (DOEA) for extracting multiple decision rule lists in data mining, which aims at satisfying the classification criteria of high accuracy and ease of user comprehension. Unlike existing approaches, the algorithm incorporates the concept of Pareto dominance to evolve a set of non-dominated decision rule lists each having different classification accuracy and number of rules over a specified range. The classification results of DOEA are analyzed and compared with existing rule-based and non-rule based classifiers based upon 8 test problems obtained from UCI Machine Learning Repository. It is shown that the DOEA produces comprehensible rules with competitive classification accuracy as compared to many methods in literature. Results obtained from box plots and t-tests further examine its invariance to random partition of datasets."
alleviating catastrophic forgetting via multi-objective learning,Yaochu Jin; B. Sendhoff,The 2006 IEEE International Joint Conference on Neural Network Proceedings,2006.0,10.1109/IJCNN.2006.247332,,2.0,"['Evolutionary', 'NSGA-II']","['Catastrophic Forgetting', 'Neural Networks']","['Error on new patterns', 'Error on pseudo-patterns']",Single,"Handling catastrophic forgetting is an interesting and challenging topic in modeling the memory mechanisms of the human brain using machine learning models. From a more general point of view, catastrophic forgetting reflects the stability-plasticity dilemma, which is one of the several dilemmas to be addressed in learning systems: to retain the stored memory while learning new information. Different to the existing approaches, we introduce a Pareto-optimality based multi-objective learning framework for alleviating catastrophic learning. Compared to the single-objective learning methods, multi-objective evolutionary learning with the help of pseudo-rehearsal is shown to be more promising in dealing with the stability-plasticity dilemma."
semi-supervised feature selection via multiobjective optimization,"Handl J., Knowles J.",IEEE International Conference on Neural Networks - Conference Proceedings,2006.0,10.1109/ijcnn.2006.247330,,17.0,"['Evolutive', 'PESA-II']","['Feature Selection', 'Semi-supervised']","['Silhoute Width', 'Feature cardinality', 'Adjusted Rand Index']",Single - Solution that performs best in supervised,"In previous work, we have shown that both unsupervised feature selection and the semi-supervised clustering problem can be usefully formulated as multiobjective optimization problems. In this paper, we discuss the logical extension of this prior work to cover the problem of semi-supervised feature selection. Our extensive experimental results provide evidence for the advantages of semi-supervised feature selection when both labelled and unlabelled data are available. Moreover, the particular effectiveness of a Pareto-based optimization approach can also be seen. © 2006 IEEE."
