Title,Authors,Publisher,Year,Abstract,DOI,Keywords,Citations,Remove - Title
Pareto-Based Multiobjective Machine Learning: An Overview and Case Studies,Y. Jin; B. Sendhoff,"IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)",2008.0,"Machine learning is inherently a multiobjective task. Traditionally, however, either only one of the objectives is adopted as the cost function or multiple objectives are aggregated to a scalar cost function. This can be mainly attributed to the fact that most conventional learning algorithms can only deal with a scalar cost function. Over the last decade, efforts on solving machine learning problems using the Pareto-based multiobjective optimization methodology have gained increasing impetus, particularly due to the great success of multiobjective optimization using evolutionary algorithms and other population-based stochastic search methods. It has been shown that Pareto-based multiobjective learning approaches are more powerful compared to learning algorithms with a scalar cost function in addressing various topics of machine learning, such as clustering, feature selection, improvement of generalization ability, knowledge extraction, and ensemble generation. One common benefit of the different multiobjective learning approaches is that a deeper insight into the learning problem can be gained by analyzing the Pareto front composed of multiple Pareto-optimal solutions. This paper provides an overview of the existing research on multiobjective machine learning, focusing on supervised learning. In addition, a number of case studies are provided to illustrate the major benefits of the Pareto-based approach to machine learning, e.g., how to identify interpretable models and models that can generalize on unseen data from the obtained Pareto-optimal solutions. Three approaches to Pareto-based multiobjective ensemble generation are compared and discussed in detail. Finally, potentially interesting topics in multiobjective machine learning are suggested.",10.1109/TSMCC.2008.919172,Ensemble;evolutionary multiobjective optimization;generalization;machine learning;multiobjective learning;multiobjective optimization;neural networks;Pareto optimization,217.0,
Multiobjective Evolutionary Data Mining for Performance Improvement of Evolutionary Multiobjective Optimization,Y. Nojima; Y. Tanigaki; N. Masuyama; H. Ishibuchi,"2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",2018.0,"In recent years, evolutionary multiobjective optimization (EMO) algorithms have frequently been used for engineering problems with some conflicting objective functions to be simultaneously optimized. EMO algorithms can provide a number of Pareto optimal solutions to users. Two scenarios are considered in the practical use of EMO algorithms. One is that a decision maker selects a single solution from the obtained ones after the EMO process. The other is that a decision maker utilizes the solutions to analyze the relationship between design variables and objective functions of the corresponding problem. In this paper, we apply fuzzy genetics-based machine learning to the second scenario in order to generate if-then rule-based classifiers which represent the relationship between design variables and objective functions. We also utilize this method during the EMO process to pre-screen candidate offspring solutions. The classifier detects non-promising offspring solutions. Then, they are discarded before their fitness evaluation, so that the computation resource is used only for promising solutions. We apply this method to one engineering problem and examine its effect on the search performance of an EMO algorithm.",10.1109/SMC.2018.00135,Evolutionary multiobjective optimization;data mining;multiobjective fuzzy genetics-based machine learning;pattern classification,,
Single-Objective/Multiobjective Cat Swarm Optimization Clustering Analysis for Data Partition,D. Yan; H. Cao; Y. Yu; Y. Wang; X. Yu,IEEE Transactions on Automation Science and Engineering,2020.0,"This article proposes single-objective/multiobjective cat swarm optimization clustering algorithms for data partition. The proposed methods use the cat swarm to search the optimal. The position of the cat tightly associates with the clustering centers and is updated by two submodes: the seeking mode and the tracing mode. The seeking mode uses the simulated annealing strategy to update the cat position at a probability. Inspired by the quantum theories, the tracing mode adopts the quantum model to update the cat position in the whole solution space. First, the single-objective method is proposed and adopts the cohesion of clustering as the objective function, in which the kernel method is applied. For considering more objective functions to reveal diverse aspects of data, the multiobjective method is proposed and adopts both the cohesion and the connectivity as the objective functions. The Pareto optimization method is applied to balance the objectives. In the experiments, three kinds of data sets are used to examine the effectiveness of the proposed methods, which are three synthetic data sets, four data sets from the UCI Machine Learning Repository, and a field data set. Experimental results verified that the proposed methods perform better than the traditional clustering algorithms, and the proposed multiobjective method has the highest accuracy. Note to Practitioners-This article presents single-objective/multiobjective cat swarm optimization clustering analysis methods for data partition. Through automatically extracting meaningful or useful classes, clustering analysis could help the practitioners or the intelligent devices find the specific meanings of data, natural data structure, the data relationships, or other characteristics. The proposed methods use the cat swarm to search the optimal clustering result. One or more criterion functions could be selected as the optimization objectives. The time complexity of the multiobjective type is higher than that of the single-objective type. Therefore, in the industrial field, engineers should choose the number of the optimization objectives based on the actual requirements. The proposed methods could be widely used into industrial applications to deal with complex data sets. Future research could consider some more progressive optimization schemes to improve the effectiveness.",10.1109/TASE.2020.2969485,Clustering analysis;data partition;quantum model;single-objective/multiobjective optimization,9.0,
Deep-Learning-Aided Packet Routing in Aeronautical <italic>Ad Hoc</italic> Networks Relying on Real Flight Data: From Single-Objective to Near-Pareto Multiobjective Optimization,D. Liu; J. Zhang; J. Cui; S. -X. Ng; R. G. Maunder; L. Hanzo,IEEE Internet of Things Journal,2022.0,"Data packet routing in aeronautical <italic>ad hoc</italic> networks (AANETs) is challenging due to their high-dynamic topology. In this article, we invoke deep learning (DL) to assist routing in AANETs. We set out from the single objective of minimizing the end-to-end (E2E) delay. Specifically, a deep neural network (DNN) is conceived for mapping the local geographic information observed by the forwarding node into the information required for determining the optimal next hop. The DNN is trained by exploiting the regular mobility pattern of commercial passenger airplanes from historical flight data. After training, the DNN is stored by each airplane for assisting their routing decisions during flight relying solely on local geographic information. Furthermore, we extend the DL-aided routing algorithm to a multiobjective scenario, where we aim for simultaneously minimizing the delay, maximizing the path capacity, and maximizing the path lifetime. Our simulation results based on real flight data show that the proposed DL-aided routing outperforms existing position-based routing protocols in terms of its E2E delay, path capacity, as well as path lifetime, and it is capable of approaching the Pareto front that is obtained using global link information.",10.1109/JIOT.2021.3105357,Aeronautical ad hoc network (AANET);deep learning (DL);multiobjective optimization (MOO);routing,,
Rotation effects of objective functions in parallel distributed multiobjective fuzzy genetics-based machine learning,Y. Takahashi; Y. Nojima; H. Ishibuchi,2015 10th Asian Control Conference (ASCC),2015.0,"Fuzzy genetics-based machine learning (FGBML) is one of data mining techniques using evolutionary computation. It can obtain fuzzy rule-based classifiers that are accurate and linguistically interpretable for human users. However, there are two major problems. One is that it is impossible to design the best classifier with respect to both accuracy and interpretability due to their tradeoff. To solve this problem, we proposed multiobjective FGBML (MoFGBML) where an evolutionary multiobjective optimization algorithm is used to obtain a number of classifiers with different tradeoffs between accuracy and complexity. The other is the heavy computational load of FGBML for large data sets. In the previous study, we applied parallel distributed implementation to our MoFGBML to overcome this problem. We examined the effects of the parallel distributed implementation on the search ability. Although the computational time became much shorter, the number of the obtained non-dominated classifiers became small. As a result, accurate classifiers were not obtained for some data sets. In this paper, we propose a simple idea to bias the search direction of our MoFGBML. We rotate one or two objective functions. This rotation changes the dominance relation in multiobjective optimization. Through computational experiments, we examine the effects of the rotated objective functions on the search ability of our MoFGBML for large data sets.",10.1109/ASCC.2015.7244890,Fuzzy genetics-based machine learning;parallel distributed implementation;multiobjective optimization,1.0,
Multicriteria PM Motor Design Based on ANFIS Evaluation of EV Driving Cycle Efficiency,C. T. Krasopoulos; M. E. Beniakar; A. G. Kladas,IEEE Transactions on Transportation Electrification,2018.0,"This paper proposes a multicriteria design optimization methodology for permanent magnet (PM) motors used in electric vehicle (EV) applications. In the process, an adaptive-network-based fuzzy inference system (ANFIS) is utilized, coupled with a multiobjective optimization algorithm, as a surrogate model of the electric motor. This allows for the consideration of the full drive cycle and respective efficiency map for every motor design. The prediction error of the ANFIS is minimized by employing appropriate membership functions, initial training data, and an adaptive learning scheme via iterative training. The efficiency map is then implemented in a vehicle dynamic model to compute the total consumed energy over the driving cycle. The optimization profile accounts for total energy efficiency, torque density, and additionally considers complementary design criteria via an a posteriori selection procedure on the resulting Pareto set. The methodology developed is applied to optimize a surface PM motor with concentrated fractional slot winding, mounted on a light EV that competes in fuel economy races. The selected motor design has been validated through measurements on a prototype.",10.1109/TTE.2018.2810707,Adaptive-network-based fuzzy inference system (ANFIS);drive cycle;efficiency map;electric vehicle (EV);energy efficiency;machine learning;multicriteria design;multiobjective optimization;permanent magnet (PM) motor design;torque density,31.0,
Machine Learning for Multiobjective Evolutionary Optimization in Python for EM Problems,A. Boryssenko; N. Herscovici,2018 IEEE International Symposium on Antennas and Propagation & USNC/URSI National Radio Science Meeting,2018.0,A highly efficient algorithm for the optimization of EM problems is proposed. The algorithm is mostly based on Python open-source libraries and was successfully used in the development of antennas and arrays using HFSS.,10.1109/APUSNCURSINRSM.2018.8609394,machine learning;surrogate objective function;multiobjective evolutionary algorithm (MOEA);Gaussian process;HFSS,2.0,
Multiple Reference Points-Based Decomposition for Multiobjective Feature Selection in Classification: Static and Dynamic Mechanisms,B. H. Nguyen; B. Xue; P. Andreae; H. Ishibuchi; M. Zhang,IEEE Transactions on Evolutionary Computation,2020.0,"Feature selection is an important task in machine learning that has two main objectives: 1) reducing dimensionality and 2) improving learning performance. Feature selection can be considered a multiobjective problem. However, it has its problematic characteristics, such as a highly discontinuous Pareto front, imbalance preferences, and partially conflicting objectives. These characteristics are not easy for existing evolutionary multiobjective optimization (EMO) algorithms. We propose a new decomposition approach with two mechanisms (static and dynamic) based on multiple reference points under the multiobjective evolutionary algorithm based on decomposition (MOEA/D) framework to address the above-mentioned difficulties of feature selection. The static mechanism alleviates the dependence of the decomposition on the Pareto front shape and the effect of the discontinuity. The dynamic one is able to detect regions in which the objectives are mostly conflicting, and allocates more computational resources to the detected regions. In comparison with other EMO algorithms on 12 different classification datasets, the proposed decomposition approach finds more diverse feature subsets with better performance in terms of hypervolume and inverted generational distance. The dynamic mechanism successfully identifies conflicting regions and further improves the approximation quality for the Pareto fronts.",10.1109/TEVC.2019.2913831,Classification;feature selection;multiobjective evolutionary algorithm based on decomposition (MOEA/D);multiobjective optimization;partially conflicting,23.0,
Expensive Multiobjective Evolutionary Optimization Assisted by Dominance Prediction,Y. Yuan; W. Banzhaf,IEEE Transactions on Evolutionary Computation,2022.0,"We propose a new surrogate-assisted evolutionary algorithm for expensive multiobjective optimization. Two classification-based surrogate models are used, which can predict the Pareto dominance relation and <inline-formula> <tex-math notation=""LaTeX"">$\theta $ </tex-math></inline-formula>-dominance relation between two solutions, respectively. To make such surrogates as accurate as possible, we formulate dominance prediction as an imbalanced classification problem and address this problem using deep learning techniques. Furthermore, to integrate the surrogates based on dominance prediction with multiobjective evolutionary optimization, we develop a two-stage preselection strategy. This strategy aims to select a promising solution to be evaluated among those produced by genetic operations, taking proper account of the balance between convergence and diversity. We conduct an empirical study on a number of well-known multiobjective and many-objective benchmark problems, over a relatively small number of function evaluations. Our experimental results demonstrate the superiority of the proposed algorithm compared with several representative surrogate-assisted algorithms.",10.1109/TEVC.2021.3098257,Deep neural networks;expensive multiobjective optimization;many-objective optimization;metamodeling;surrogate-assisted evolutionary computation,,
Multiobjective Neural Network Ensembles Based on Regularized Negative Correlation Learning,H. Chen; X. Yao,IEEE Transactions on Knowledge and Data Engineering,2010.0,"Negative Correlation Learning (NCL) [CHECK END OF SENTENCE], [CHECK END OF SENTENCE] is a neural network ensemble learning algorithm which introduces a correlation penalty term to the cost function of each individual network so that each neural network minimizes its mean-square-error (MSE) together with the correlation. This paper describes NCL in detail and observes that the NCL corresponds to training the entire ensemble as a single learning machine that only minimizes the MSE without regularization. This insight explains that NCL is prone to overfitting the noise in the training set. The paper analyzes this problem and proposes the multiobjective regularized negative correlation learning (MRNCL) algorithm which incorporates an additional regularization term for the ensemble and uses the evolutionary multiobjective algorithm to design ensembles. In MRNCL, we define the crossover and mutation operators and adopt nondominated sorting algorithm with fitness sharing and rank-based fitness assignment. The experiments on synthetic data as well as real-world data sets demonstrate that MRNCL achieves better performance than NCL, especially when the noise level is nontrivial in the data set. In the experimental discussion, we give three reasons why our algorithm outperforms others.",10.1109/TKDE.2010.26,Multiobjective algorithm;multiobjective learning;neural network ensembles;neural networks;negative correlation learning;regularization.,83.0,
