Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Publisher
"Kozdrowicki E.W., Cooper D.W.","COKO III: The Cooper-Koz Chess Program",1973,"Communications of the ACM",4,"10.1145/362280.362288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015646338&doi=10.1145%2f362280.362288&partnerID=40&md5=58a343186f44652289116b8bb971fd0b","OKO III is a chess player written entirely in Fortran. On the IBM 360-65, COKO III plays a minimal chess game at the rate of.2 sec cpu time per move, with a level close to lower chess club play. A selective tree searching procedure controlled by tactical chess logistics allows a deployment of multiple minimal game calculations to achieve some optimal move selection. The tree searching algorithms are the heart of COKO's effectiveness, yet they are conceptually simple. In addition, an interesting phenomenon called a tree searching catastrophe has plagued COKO's entire development just as it troubles a human player. Standard exponential growth is curbed to a large extent by the definition and trimming of the Fisher set. A clear distinction between tree pruning and selective tree searching is also made. Representation of the chess environment is described along with a strategical preanalysis procedure that maps the Lasker regions. Specific chess algorithms are described which could be used as a command structure by anyone desiring to do some chess program experimentation. A comparison is made of some mysterious actions of human players and COKO III. © 1973, ACM. All rights reserved.","alpha beta; artificial intelligence; auxiliary minimal game; chess algorithms; command structure; computer chess tournament; concept formation; Fischer set; game playing; heuristic programming; Lasker regions; machine learning; minimal chess game; minimax; selective searching; strategical; tactical; tactical control mode; tree searching; tree searching catastrophe",
"Szu Harold, Scheff Kim","Gram-Schmidt orthogonalization neural nets for O.C.R",1989,,1,"10.1109/ijcnn.1989.118632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024877305&doi=10.1109%2fijcnn.1989.118632&partnerID=40&md5=3701e34d2937ffd40cc7d8ec99599343","A description is given of a three-layer neural network for pattern classification/character recognition. The first layer is a heteroassociative feedforward network with bipolar output (±1) and zero threshold neurons. The second layer is an autoassociative memory whose input-output characteristics are the same as those in the first layer. The third layer is used to recognize the pattern and control whether the new orthogonal feature vector should be installed by the outer product formula to increase the memory capacity to M′ = M + 1. With this network, conventional pattern recognition of the minimax type is used to determine the initial interconnection matrix. The samples are classified by means of supervised learning. Only a single physical layer need be built, since the same layer can repeatedly be used three times in series. The performance of the network is studied.",,"Publ by IEEE, Piscataway"
"Katz William T., Pham Son","Experience-based learning experiments using Go-Moku",1991,"Proceedings of the IEEE International Conference on Systems, Man and Cybernetics",5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026391196&partnerID=40&md5=a7dbc53a132d901738191dc946244f17","Three experience-based learning techniques are explored using the game Go-Moku (Connect-5). The first method, an exception tree, is used to prevent poor lines of play by recording critical moves in a move tree. The second method simply records all games in a large experience tree, backtracking the eventual outcomes in traditional minimax fashion. Both techniques allow a computer player to modify its behavior based on past experience, and, therefore, typically defeat static game programs. The last method explored is the use of a multilayer feedforward artificial neural network for strategy calculation. The network was trained on selected interior nodes of the experience tree using the backpropagation algorithm. The neural network strategy algorithm compares favorably with a fine-tuned hand-crafted strategy algorithm.",,"Publ by IEEE, Piscataway, NJ, United States"
"Carpenter G.A., Grossberg S., Markuzon N., Reynolds J.H., Rosen D.B.","Fuzzy ARTMAP: A Neural Network Architecture for Incremental Supervised Learning of Analog Multidimensional Maps",1992,"IEEE Transactions on Neural Networks",1488,"10.1109/72.159059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026923589&doi=10.1109%2f72.159059&partnerID=40&md5=1faab4b2320953563d85b205fa5f8679","— A new neural network architecture is introduced for incremental supervised learning of recognition categories and multidimensional maps in response to arbitrary sequences of analog or binary input vectors, which may represent fuzzy or crisp sets of features. The architecture, called fuzzy ARTMAP, achieves a synthesis of fuzzy logic and adaptive resonance theory (ART) neural networks by exploiting a close formal similarity between the computations of fuzzy subsethood and ART category choice, resonance, and learning. Fuzzy ARTMAP also realizes a new minimax learning rule that conjointly minimizes predictive error and maximizes code compression, or generalization. This is achieved by a match tracking process that increases the ART vigilance parameter by the minimum amount needed to correct a predictive error. As a result, the system automatically learns a minimal number of recognition categories, or “hidden units,” to meet accuracy criteria. Category proliferation is prevented by normalizing input vectors at a preprocessing stage. A normalization procedure called complement coding leads to a symmetric theory in which the and operator (V) and the OR operator (A) of fuzzy logic play complementary roles. Complement coding uses on cells and off cells to represent the input pattern, and preserves individual feature amplitudes while normalizing the total on cell/off cell vector. Learning is stable because all adaptive weights can only decrease in time. Decreasing weights correspond to increasing sizes of category “boxes.” Smaller vigilance values lead to larger category boxes. Improved prediction is achieved by training the system several times using different orderings of the input set. This voting strategy can also be used to assign confidence estimates to competing predictions given small, noisy, or incomplete training sets. Four classes of simulations illustrate fuzzy ARTMAP performance in relation to benchmark backpropagation and genetic algorithm systems. These simulations include (i) finding points inside versus outside a circle; (ii) learning to tell two spirals apart, (iii) incremental approximation of a piecewise-continuous function; and (iv) a letter recognition database. The fuzzy ARTMAP system is also compared with Salzberg’s NGE system and with Simpson’s FMMC system. © 1992 IEEE",,
"Ahmad Z., Guez A.","Preliminary report on machine learning via multiobjective optimization",1992,"Proceedings of SPIE - The International Society for Optical Engineering",,"10.1117/12.140027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075545536&doi=10.1117%2f12.140027&partnerID=40&md5=f4011bdd76e2c86d6b4c540be318b771","We believe that an essential feature in machine learning is the real time satisfaction of multiple objectives such as identification, tracking etc. The machine learning problem may be viewed as a nonlinear adaptive control problem where the environment plays the role of the 'plant', while the learner is the controller. Multiobjective optimization (MOO) in the control problem typically deals with simultaneous optimization of more than one objective, where each objective is described via a cost functional. In such a situation there often exists a region of tradeoff wherein one cost may be improved at the expense of others. Such a region is called the Pareto optimal (P0) set. A parameterization of this set simplifies the attainment of the existing tradeoff. Working within the Pareto set guaranties optimum tradeoff. As an example this algorithm is applied to the control of a D.C. motor. © 1992 SPIE. All rights reserved.",,"SPIE"
"Chella A., Gentile A., Sorbello F., Tarantino A.","Supervised learning for feed-forward neural networks: A new minimax approach for fast convergence",1993,"1993 IEEE International Conference on Neural Networks",5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943261866&partnerID=40&md5=01795d059fedc012fbe20936148fb17d","In this paper a new approach to the problem of the learning process for feed-forward neural networks, based on an optimization point of view, is proposed. The developed algorithm is a minimax method based on a combination of the Quasi-Newton and Steepest-Descent methods: the optimum point is reached by minimizing the maximum of the error functions of the network without requiring any tuning of internal parameters. The algorithm has been tested on several widespread benchmarks and showed, in all the cases, superior convergence properties when compared with other algorithms available in literature. Significant experimental results are also included.",,"Publ by IEEE, Piscataway, NJ, United States"
"Karni R., Fournier F.","Knowledge extraction for production management",1994,"Journal of Intelligent Manufacturing",1,"10.1007/BF00123921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028459901&doi=10.1007%2fBF00123921&partnerID=40&md5=0cb7d6a30e2d5359d79faa8c995128e9","A procedure and underlying algorithm for extracting knowledge from production and inventory databases to support engineering management activities is described. The process searches for, detects and isolates behaviour patterns inherent in the data. It relates these patterns to production irregularities, suggests connections with specific causes and helps propose possible corrective or preventive actions. The approach is based on a four-phase procedure: (1) the decision-maker focuses on the subject or difficulty at issue, represented by a target concept; (2) the KEDB algorithm, based on a machine learning approach, processes the relevant database and provides knowledge characterizing and classifying the target concept; (3) the output is interpreted in Pareto fashion as a series of possible circumstances explaining the target concept behaviour; and (4) based on these causes, the decision-maker decides on possible corrective actions to improve the situation, or preventive actions to forestall unfavourable conditions. A case study based on an actual quality control database is detailed. © 1994 Chapman & Hall.","industrial databases; knowledge extraction; machine learning; Production management","Kluwer Academic Publishers"
"Ham Fredric M., Han Gabsoo, Fausett Laurene V.","Fuzzy LAPART: a neural architecture for supervised learning through inferencing for stable category recognition",1995,"Journal of artificial neural networks",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029542336&partnerID=40&md5=9780cd7d98bb2f454223910328f17eb6","Laterally primed adaptive resonance theory (LAPART), a neural network architecture for logical inferencing and supervised learning, has been adapted with fuzzy adaptive resonance theory (ART) modules, match tracking, and slow learning capabilities. Fuzzy LAPART consists of interconnected fuzzy ART networks, thus allowing for the use of analog inputs. The interconnections enable fuzzy LAPART to infer one pattern class from another to form a predictive pattern class. Slow learning, with fast-commit and slow-recode options, has also been incorporated for efficient coding of noisy input sets. Fuzzy LAPART realizes a minimax learning rule that conjointly minimizes predictive error and maximizes code compression, or generalization. This is achieved by a match tracking process that increases the ART vigilance parameter by the minimum amount needed to correct a predictive error. To illustrate the ability of fuzzy LAPART to perform stable category recognition for the separation of a spirals benchmark test, performance results are compared with two different types of counterpropagation clustering networks, with and without topological structure. Fuzzy LAPART shows outstanding performance results with more efficient clustering than either counterpropagation network.",,"Ablex Publ Corp, Norwood, NJ, United States"
"Szepesvári C.","Learning and exploitation do not conflict under minimax optimality",1997,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",6,"10.1007/3-540-62858-4_89","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947910334&doi=10.1007%2f3-540-62858-4_89&partnerID=40&md5=7f1601838af3d3595ee6e88e64b578ca","We show that adaptive real time dynamic programming extended with the action selection strategy which chooses the best action according to the latest estimate of the cost function yields asymptotically optimal policies within finite time under the minimax optimality criterion. From this it follows that learning and exploitation do not conflict under this special optimality criterion. We relate this result to learning optimal strategies in repeated two-player zero-sum deterministic games. © Springer-Verlag Berlin Heidelberg 1997.","Dynamic games; Reinforcement learning; Self-optimizing systems","Springer Verlag"
"Zaman R., Prokhorov D., Wunsch D.C.","Adaptive critic design in learning to play game of Go",1997,"IEEE International Conference on Neural Networks - Conference Proceedings",12,"10.1109/ICNN.1997.611623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030650665&doi=10.1109%2fICNN.1997.611623&partnerID=40&md5=5ae63cefe283739c98c689b33d3e168b","This paper examines the performance of an HDP-type adaptive critic design (ACD) of the game Go. The game Go is an ideal problem domain for exploring machine learning; it has simple rules but requires complex strategies to play well. All current commercial Go programs are knowledge based implementations; they utilize input feature and pattern matching along with minimax type search techniques. But the extremely high branching factor puts a limit on their capabilities, and they are very weak compared to the relative strengths of other game programs like chess. In this paper, the Go-playing ACD consists of a critic network and an action network. The HDP type critic network learns to predict the cumulative utility function of the current board position from training games, and, the action network chooses a next move which maximizes critics next step cost-to-go. After about 6000 different training games against a public domain program, WALLY, the network (playing WHITE) began to win in some of the games and showed slow but steady improvements on test games. © 1997 IEEE.",,
